"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"PLM00012566","BALICE, PL","2024-01-01","0.39",,"37",,
"PLM00012566","BALICE, PL","2024-01-02","0.39",,"41","45","37"
"PLM00012566","BALICE, PL","2024-01-03","0.21",,"46",,"39"
"PLM00012566","BALICE, PL","2024-01-04","0.28",,"44","49",
"PLM00012566","BALICE, PL","2024-01-05","0.23",,"34","44",
"PLM00012566","BALICE, PL","2024-01-06","0.00",,"34",,
"PLM00012566","BALICE, PL","2024-01-07","0.29","2.0","24","33",
"PLM00012566","BALICE, PL","2024-01-08","0.02","5.1","14","21",
"PLM00012566","BALICE, PL","2024-01-09","0.00","4.3","6","13",
"PLM00012566","BALICE, PL","2024-01-10","0.00","3.9","9",,"-1"
"PLM00012566","BALICE, PL","2024-01-11","0.01","3.5","23",,"7"
"PLM00012566","BALICE, PL","2024-01-12","0.00","3.9","28",,
"PLM00012566","BALICE, PL","2024-01-13","0.00","3.9","31","32","27"
"PLM00012566","BALICE, PL","2024-01-14","0.02","4.3","32",,"29"
"PLM00012566","BALICE, PL","2024-01-15","0.01","4.3","33","34",
"PLM00012566","BALICE, PL","2024-01-16","0.02","4.3","29","33",
"PLM00012566","BALICE, PL","2024-01-17","0.02","5.5","24",,"9"
"PLM00012566","BALICE, PL","2024-01-18","0.00","3.5","36","43","29"
"PLM00012566","BALICE, PL","2024-01-19","0.12","2.0","29","34",
"PLM00012566","BALICE, PL","2024-01-20","0.00","1.6","30","34","26"
"PLM00012566","BALICE, PL","2024-01-21","0.00","1.2","32","38",
"PLM00012566","BALICE, PL","2024-01-22","0.00","0.8","33",,
"PLM00012566","BALICE, PL","2024-01-23","0.14",,"38","43",
"PLM00012566","BALICE, PL","2024-01-24","0.02",,"41","50","28"
"PLM00012566","BALICE, PL","2024-01-25","0.33",,"42","46",
"PLM00012566","BALICE, PL","2024-01-26","0.21",,"38",,"35"
"PLM00012566","BALICE, PL","2024-01-27","0.11",,"38","43","35"
"PLM00012566","BALICE, PL","2024-01-28","0.12",,"35","39",
"PLM00012566","BALICE, PL","2024-01-29","0.00",,"33","45","25"
"PLM00012566","BALICE, PL","2024-01-30","0.00",,"32","47","22"
"PLM00012566","BALICE, PL","2024-01-31","0.00",,"33",,"24"
"PLM00012566","BALICE, PL","2024-02-01","0.00",,"37","43","28"
"PLM00012566","BALICE, PL","2024-02-02","0.06",,"39","43","36"
"PLM00012566","BALICE, PL","2024-02-03","0.01",,"45","47","38"
"PLM00012566","BALICE, PL","2024-02-04","0.13",,"45","47",
"PLM00012566","BALICE, PL","2024-02-05","0.49",,"47",,"40"
"PLM00012566","BALICE, PL","2024-02-06","0.34",,"47","51","43"
"PLM00012566","BALICE, PL","2024-02-07","0.00",,"44","50",
"PLM00012566","BALICE, PL","2024-02-08","0.17","0.4","35",,
"PLM00012566","BALICE, PL","2024-02-09","0.47",,"38",,"35"
"PLM00012566","BALICE, PL","2024-02-10","0.21",,"45",,"35"
"PLM00012566","BALICE, PL","2024-02-11","0.13",,"47","50","41"
"PLM00012566","BALICE, PL","2024-02-12","0.15",,"46","50",
"PLM00012566","BALICE, PL","2024-02-13","0.00",,"40",,"33"
"PLM00012566","BALICE, PL","2024-02-14","0.00",,"40","59","32"
"PLM00012566","BALICE, PL","2024-02-15","0.00",,"44","56",
"PLM00012566","BALICE, PL","2024-02-16","0.00",,"43","59","31"
"PLM00012566","BALICE, PL","2024-02-17","0.04",,"42","48","34"
"PLM00012566","BALICE, PL","2024-02-18","0.00",,"38","46",
"PLM00012566","BALICE, PL","2024-02-19","0.04",,"38","48",
"PLM00012566","BALICE, PL","2024-02-20","0.11",,"43","49",
"PLM00012566","BALICE, PL","2024-02-21","0.02",,"42","48",
"PLM00012566","BALICE, PL","2024-02-22","0.00",,"44","54","31"
"PLM00012566","BALICE, PL","2024-02-23","0.02",,"47","51","45"
"PLM00012566","BALICE, PL","2024-02-24","0.11",,"46",,
"PLM00012566","BALICE, PL","2024-02-25","0.00",,"44","58","30"
"PLM00012566","BALICE, PL","2024-02-26","0.00",,"46","59",
"PLM00012566","BALICE, PL","2024-02-27","0.00",,"51","64","39"
"PLM00012566","BALICE, PL","2024-02-28","0.01",,"51","56",
"PLM00012566","BALICE, PL","2024-02-29","0.01",,"48","55",
"PLM00012566","BALICE, PL","2024-03-01","0.00",,"46","54",
"PLM00012566","BALICE, PL","2024-03-02","0.00",,"46","52",
"PLM00012566","BALICE, PL","2024-03-03","0.00",,"49","61",
"PLM00012566","BALICE, PL","2024-03-04","0.00",,"47",,"38"
"PLM00012566","BALICE, PL","2024-03-05","0.04",,"44","51",
"PLM00012566","BALICE, PL","2024-03-06","0.17",,"35","44",
"PLM00012566","BALICE, PL","2024-03-07","0.15",,"35","39",
"PLM00012566","BALICE, PL","2024-03-08","0.00",,"35","42",
"PLM00012566","BALICE, PL","2024-03-09","0.00",,"37",,
"PLM00012566","BALICE, PL","2024-03-10","0.00",,"46","57","36"
"PLM00012566","BALICE, PL","2024-03-11","0.04",,"47",,
"PLM00012566","BALICE, PL","2024-03-12","0.15",,"45","47",
"PLM00012566","BALICE, PL","2024-03-13","0.22",,"44","47",
"PLM00012566","BALICE, PL","2024-03-14","0.04",,"41","49","34"
"PLM00012566","BALICE, PL","2024-03-15","0.00",,"41","54","28"
"PLM00012566","BALICE, PL","2024-03-16","0.04",,"49","61","39"
"PLM00012566","BALICE, PL","2024-03-17","0.15",,"43","51",
"PLM00012566","BALICE, PL","2024-03-18","0.00",,"35","42",
"PLM00012566","BALICE, PL","2024-03-19","0.00",,"38","47",
"PLM00012566","BALICE, PL","2024-03-20","0.00",,"41",,
"PLM00012566","BALICE, PL","2024-03-21","0.00",,"46","58",
"PLM00012566","BALICE, PL","2024-03-22","0.00",,"50","54",
"PLM00012566","BALICE, PL","2024-03-23","0.00",,"51","69",
"PLM00012566","BALICE, PL","2024-03-24","0.19",,"40","47",
"PLM00012566","BALICE, PL","2024-03-25","0.18",,"39",,
"PLM00012566","BALICE, PL","2024-03-26","0.14",,"42","59","27"
"PLM00012566","BALICE, PL","2024-03-27","0.00",,"55",,"39"
"PLM00012566","BALICE, PL","2024-04-01",,,"64","79","55"
"PLM00012566","BALICE, PL","2024-04-02",,,"51",,
"PLM00012566","BALICE, PL","2024-04-03","0.37",,"53","60","46"
"PLM00012566","BALICE, PL","2024-04-04","0.01",,"54","61",
"PLM00012566","BALICE, PL","2024-04-05","0.09",,"56","64",
"PLM00012566","BALICE, PL","2024-04-06","0.00",,"59","67",
